output,param,mu_star,mu,sigma,mu_star_conf
cumulative_churn,dark_pattern_intensity,0.7014666666666668,0.7014666666666668,0.15172666526481413,0.07623443663964655
cumulative_churn,alpha,0.012333333333333354,0.010066666666666692,0.0156454770582732,0.006098595581088345
cumulative_churn,delta,0.17186666666666667,0.17173333333333335,0.08969349926011258,0.04584513916560844
cumulative_churn,social_influence_strength,0.03706666666666666,0.036266666666666655,0.04853933113122459,0.02354153653774013
cumulative_churn,customer_support_quality,0.11146666666666667,-0.11146666666666667,0.10645446153615348,0.06347774024395661
cumulative_churn,theta_T,0.2172,0.2153333333333333,0.17474294045281272,0.07784246037553115
cumulative_churn,theta_H,0.08433333333333334,0.08246666666666667,0.10539034020973564,0.05450373594639084
mean_trust_all,dark_pattern_intensity,0.6561591588523591,-0.6561591588523591,0.2620012559991947,0.13285161470390366
mean_trust_all,alpha,0.003597869267075118,0.0008171181828705241,0.0057874215134764125,0.0021980784151405253
mean_trust_all,delta,0.07577342335998447,-0.07577342335998447,0.05032822902172821,0.024032622152482898
mean_trust_all,social_influence_strength,0.03834696646376144,-0.03834696646376144,0.04986457484453772,0.027096047563628392
mean_trust_all,customer_support_quality,0.19523961148653762,0.19523961148653762,0.1727005815688413,0.0870841207246961
mean_trust_all,theta_T,0.07063776150525937,0.0706193414376063,0.058946728098311925,0.02683122440425806
mean_trust_all,theta_H,0.026960227699651482,0.02581089095291933,0.028259359597732382,0.01325091226693956
